epoch,acc,loss,val_acc,val_loss
0,0.0345361929028823,6.809748104174411,0.2721394433584698,4.059954933538184
1,0.2808479590776757,3.418304542841687,0.5893810995886941,2.2982697394761824
2,0.45853581810603367,2.3070978138573426,0.6797461745930395,1.824911741028972
3,0.5615319222882517,1.7495938536504705,0.7221976786330022,1.619977895780435
4,0.6303800688057455,1.406055986851732,0.7391059880199392,1.546819781341669
5,0.6773397860467096,1.1865739513468432,0.7649303184340214,1.4566889270356709
6,0.7115446402751862,1.0265872125750282,0.7647295071289306,1.4805986466927339
7,0.7371848936792514,0.9175301053288557,0.7739266639081555,1.4340286442944217
8,0.7557766711100492,0.8336417358829702,0.7770593195161387,1.4483427549252104
9,0.7733543515388912,0.7663675509549315,0.7772601307937,1.4586020493067873
10,0.786761851174727,0.7109389822929948,0.7748905579853912,1.4860960838090818
11,0.7981813192265416,0.6666930447210836,0.8002329410388818,1.3441869980542314
12,0.8087272581874503,0.6259656187905406,0.787140045622189,1.4473095023683278
13,0.8184130554496248,0.5918615567792216,0.7862163137178775,1.4928348531607734
14,0.826887291307655,0.5626089001500815,0.7902727016443095,1.4498451931456773
15,0.832704124732265,0.5371354266488269,0.7919595163758248,1.4541355486045215
16,0.8387385036110142,0.5162295727000022,0.8022410539341881,1.3926079409673724
17,0.8446557424924718,0.49823201905021797,0.795533956996724,1.428902461301936
18,0.8503286611003369,0.478301022798595,0.7978633678164356,1.4386239958994886
19,0.8528990454116285,0.46754366161992533,0.8043696533291161,1.4232089665717516
20,0.8584782521825275,0.450678390146095,0.8061367927188782,1.3741263042727103
21,0.8611189204401677,0.4398268876956588,0.8150929757627484,1.3411418273700875
22,0.865232204830608,0.42840173606403553,0.8038475440074566,1.438564788998837
23,0.868174090042892,0.4169465668599912,0.8095505844098918,1.4235168650301686
24,0.8706842309366034,0.40847256664885273,0.7988674244986868,1.4828047206006456
25,0.8735826070674754,0.3996543863670225,0.8193903368631756,1.3362955963368865
26,0.8779569460852314,0.3839929023513478,0.8176633599958408,1.3722060141809886
27,0.8801457890066604,0.3775421605967393,0.8147315151315888,1.3669761086789531
28,0.8826760111502147,0.36953517207236364,0.8193501747548856,1.3543245990696027
29,0.8837704325706325,0.3643798216997253,0.8124021044590994,1.4232189005419664
30,0.8858488293149371,0.3582906033866946,0.8229246156151704,1.3368031492462704
31,0.8872176928186786,0.3526030956353474,0.806257279485415,1.4728562524220163
32,0.8891923369849937,0.34617650490966584,0.8247319171132225,1.3263181906023382
33,0.8910464945698968,0.33946844561855793,0.8227639663812649,1.3919606572284513
34,0.8940921322293063,0.32958180521459085,0.8152134622898995,1.4075956477128415
35,0.8948317871016572,0.3260631280982584,0.8056146834618528,1.4574255658525115
36,0.8951396977567755,0.32671306771097497,0.8337282623204415,1.3084403603970993
37,0.8973185000592676,0.31893452066975375,0.8266195430026063,1.330932459154638
38,0.8996679920617942,0.3100188368143709,0.8235672114364516,1.3704907804987287
39,0.9008360442121688,0.30778997954307974,0.8126430778449508,1.4073526281023356
40,0.9031721488887536,0.29997730154664753,0.8175428733765263,1.4062981981461085
41,0.9040255967465737,0.29556541271981623,0.8113980479240704,1.4750958493667565
42,0.9057458800921752,0.29332288783823873,0.8238483474644233,1.3635305031757623
43,0.9061374619397884,0.28953811492585035,0.8252138640596769,1.3384222571134252
44,0.907161599543924,0.28542691771337153,0.8248524035206808,1.3371500602960251
45,0.9086710309467461,0.28116955245510045,0.8328848548625204,1.2998713770996275
46,0.9099662636949963,0.2765575444766,0.8243704564545336,1.3816795974492289
47,0.911013829248,0.2739277303243578,0.8289087916589692,1.3405701739035714
48,0.9121283317921843,0.26967976382214814,0.8273023012912563,1.368037182928841
49,0.9140862417316504,0.2625147078361773,0.8220812081297199,1.4032230565641686
