epoch,acc,loss,val_acc,val_loss
0,0.33127612963440456,6.388814557773431,0.9822884418503903,0.06895065304684712
1,0.6835357352103367,1.4662908566608008,0.9938150141759974,0.02917615973906702
2,0.7747959382121553,1.0169873414845574,0.995501824081497,0.020989480561144504
3,0.8114274340418262,0.8342156069676951,0.9949395525043253,0.01751082784022077
4,0.8332072463402016,0.7260223665252615,0.9940961451385676,0.01574042115579387
5,0.8522396975747385,0.6536802453015066,0.9949395590227978,0.014308535698659891
6,0.8619151899996398,0.6084535388198479,0.9946584232342119,0.014131672708393567
7,0.8726259211465797,0.5676420274707347,0.9946584216255401,0.012984781739288102
8,0.8843320724405475,0.5322985393887565,0.9952206948113836,0.012183734215795994
9,0.888711925426755,0.5148742726853993,0.9963452363570554,0.010433951955176586
10,0.8901055142434735,0.5015859407885436,0.9955018305999696,0.011758040582841288
11,0.9004180763576127,0.47727718699768723,0.9952206948113836,0.010698877471361161
12,0.9014533142632468,0.47156870481670315,0.9949395574141259,0.012770676511212333
13,0.9033247066782975,0.4564091966811011,0.9955018305999696,0.013548861251971696
14,0.9091379658411206,0.44343515877559464,0.994377287445626,0.014062743419810128
15,0.9092175984463321,0.4400716159345143,0.9949395590227978,0.013302275876412238
16,0.9118455107696688,0.4267642663445056,0.9952206948113836,0.012954611802515033
17,0.9128409312703138,0.4216837285893053,0.9952206948113836,0.011438354452229389
18,0.9162651805533087,0.42108584615355016,0.9949395590227978,0.014645761532967165
19,0.9169420660503258,0.41179360254646746,0.9938150158684542,0.016038507035660347
20,0.9179773049266268,0.40553153046877194,0.9940961516570401,0.014861684384194693
21,0.9222775232025335,0.3932469740299359,0.9935338800798684,0.01305374191062761
22,0.9225164248747297,0.39486089704071364,0.9940961516570401,0.012881587999921302
23,0.9239100140545583,0.38775235793041374,0.9949395590227978,0.01435022958022031
24,0.9262990242974967,0.37862587979109,0.994377287445626,0.014149648554744616
